tmdb_id,imdb_id,title,original_title,original_language,overview,poster_path,release_date,genres_tmdb_names,runtime,revenue,popularity_tmdb
893086,tt14349032,The Good Neighbor,The Good Neighbor,en,"A nightmarish evening unfolds for neighbors David and Robert when they accidentally hit a woman on her bike and flee the scene. While David is increasingly plagued by feelings of guilt, Robert shows no remorse and becomes overbearing and possessive.",/mXJ2xI7B0Z9WxDjyv18anPsOxeE.jpg,2022-06-17,"Thriller, Drama",97,94909,2.4632
688258,tt8615822,Occupation: Rainfall,Occupation: Rainfall,en,"Two years into an intergalactic invasion of Earth, survivors in Sydney, Australia, fight back in a desperate ground war. As casualties mount by the day, the resistance and their unexpected allies, uncover a plot that could see the war come to a decisive end. With the Alien invaders hell-bent on making earth their new home, the race is on to save mankind.",/vpq8XjZ3ZalcbqWOYIdqcV7FbIJ.jpg,2020-10-30,"Science Fiction, Action",128,343414,4.3611
730047,tt12889404,Cyrano,Cyrano,en,"A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian.",/e4koV8iC2cCM57bqUnEnIL2a2zH.jpg,2021-12-17,"Drama, Romance",122,3000000,4.1638
701175,tt11127690,The Paramedic,El practicante,es,"Unable to face his new reality in a wheelchair, Ángel develops a deadly obsession with the woman who left him and unleashes a sinister revenge plot.",/l9ruFmHoUws4A45s8FBZuMNC6Mu.jpg,2020-09-16,"Thriller, Drama, Crime",94,0,3.4638
991708,tt21113540,El Conde,El Conde,es,"After living for over two centuries, Augusto Pinochet is a vampire ready to die… but the vultures around him won't let him go without one last bite.",/5tcbdLbMzYEMBeJwf5PWcgUnmVa.jpg,2023-09-07,"Fantasy, Comedy, Horror",111,0,1.8729
1059811,tt25471950,Flora and Son,Flora and Son,en,"Single mom Flora is at a loss about what to do with her rebellious teenage son, Max. Her efforts to keep him out of trouble lead to a beat-up acoustic guitar, a washed-up LA musician, and harmony for this frayed Dublin family.",/pq2p8ovf8PZps2HafvJaLrZK8gS.jpg,2023-09-21,"Music, Comedy, Drama",97,0,2.2424
755836,tt12861850,Chandigarh Kare Aashiqui,चंडीगढ़ करे आशिकी,hi,"Manu, a bodybuilder from Chandigarh, India, falls in love with Maanvi, a Zumba teacher. All seems well until a revelation causes turmoil in their love story.",/owZYxR8y78tkkEd6mSH2olPsakJ.jpg,2021-12-10,"Drama, Romance, Crime",117,0,2.7266
681887,tt11762434,Cosmic Sin,Cosmic Sin,en,"In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late.",/6Wm7P6y22UZA40QuPYHyWyJ6leI.jpg,2021-03-12,"Science Fiction, Action, Adventure",88,349757,3.9472
983783,tt21279138,Maid in Malacañang,Maid in Malacañang,tl,"The untold story of the last 72 hours of the Marcoses inside Malacañang Palace before fleeing to Hawaii, during the 1986 People Power Revolution.",/8ukeEdnTaS74CgRiRsV146uZCDA.jpg,2022-08-03,Drama,114,0,0.8204
642208,tt11169050,Supernova,Supernova,en,"Sam and Tusker, partners of 20 years, are traveling across England in their old RV visiting friends, family and places from their past. Since Tusker was diagnosed with early-onset dementia two years ago, their time together is the most important thing they have.  As the trip progresses, however, their ideas for the future clash, secrets come out, and their love for each other is tested as never before. Ultimately, they must confront the question of what it means to love one another in the face of Tusker’s illness.",/c21Vwt4shqVxCQziFz0Hf91wSow.jpg,2020-11-20,"Romance, Drama",94,3415787,11.9507
846956,tt9731386,Rogue Agent,Rogue Agent,en,"Conman Robert Freegard poses as an undercover MI5 agent and kidnaps countless victims amidst a high-stakes manhunt, until the woman who fell for him brings him to justice.",/4tOaGR6mzUAEQzIgWCeVoneRIkp.jpg,2022-08-12,"Thriller, Drama",115,0,3.8711
645689,tt11204094,The Duke,The Duke,en,"In 1961, a 60-year-old taxi driver stole Goya’s portrait of the Duke of Wellington from the National Gallery in London.  It was the first (and remains the only) theft in the Gallery’s history.  What happened next became the stuff of legend.",/zXlj7NgSWg0NbK2zfUh0nbGZVuz.jpg,2021-07-23,"Comedy, Drama, History",96,0,2.8197
970347,tt1121948,The Killer,The Killer,en,"Zee is a feared contract killer known as ""the Queen of the Dead,"" but when she refuses to murder a young blind woman, she finds herself hunted both by criminal colleagues and a determined police detective.",/6PCnxKZZIVRanWb710pNpYVkCSw.jpg,2024-08-22,"Action, Thriller, Crime",126,318618,15.6709
921452,tt17277414,Jeanne du Barry,Jeanne du Barry,fr,"The life of Jeanne Bécu, who was born as the illegitimate daughter of an impoverished seamstress in 1743 and went on to rise through the Court of Louis XV to become his last official mistress.",/rSTtGXebezwZ6GVTeZVaeJ9ZQF1.jpg,2023-05-16,"Drama, History, Romance",117,13000000,2.6342
735919,tt11651796,AK vs AK,AK vs AK,hi,"After a public spat with a movie star,  a disgraced director retaliates by kidnapping the actor's daughter, filming the search for her in real-time.",/4ULEEvH0hDYnbWN3nClrb88sYCF.jpg,2020-12-24,"Comedy, Action, Drama, Crime",108,0,1.6806
1226841,tt30796448,The Greatest Night in Pop,The Greatest Night in Pop,en,"On a January night in 1985, music's biggest stars gathered to record ""We Are the World."" This documentary goes behind the scenes of the historic event.",/jDz4wFujk94tQP9Sx6EMKDULvkn.jpg,2024-01-19,"Documentary, Music",97,0,2.4523
549514,tt8829830,Fatale,Fatale,en,"After a wild one-night stand, successful sports agent Derrick Tyler watches his perfect life slowly disappear when he discovers the sexy and mysterious woman he risked everything for is determined police detective Valerie Quinlan who entangles him in her latest investigation. As he desperately tries to put the pieces together, he falls deeper into her trap, risking his family, his career, and even his life.",/tGFXEyESXIuei5tZWXRkSRSFSxi.jpg,2020-12-18,"Drama, Thriller",102,0,3.9452
681019,tt11240506,Nobody Sleeps in the Woods Tonight,W lesie dziś nie zaśnie nikt,pl,"Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever.",/5vFCHFVLPcU4M8uNXM1ba9y83Iu.jpg,2020-03-20,"Comedy, Horror",102,0,7.9114
848058,tt10399608,Piggy,Cerdita,es,A bullied overweight teenager sees a glimpse of hope when her tormentors are brutally abducted by a mesmerizing stranger.,/pIFeu5gF7ofAxI9NqrWbJAjjKn6.jpg,2022-10-07,"Drama, Horror",99,543064,3.0068
842934,tt14714980,Poker Face,Poker Face,en,"A yearly high-stakes poker game between childhood friends turns into chaos when the tech billionaire host unveils an elaborate scheme to seek revenge for the ways they've betrayed him over the years. But as his plans unfold, a group of thieves hatch plans of their own breaking into the mansion thinking it is empty. The old friends quickly band together and the years of playing the game help them win their way through a night of terror.",/8a2MIBV9LuPYbF5rOEAohjjMz9P.jpg,2022-11-16,"Thriller, Crime",94,0,2.9231
683876,tt11364772,Kabzaa,ಕಬ್ಜ,kn,"During the British rule in India, Arakeshwara, an air force soldier and son of a freedom fighter Amareshwara,due to unavoidable circumstances, kills Khaleed, the don of Amarapura and thus gets trapped in the mafia world and later becomes the king of the underworld. However, trouble ensues for Arakeshwara as he has to deal with his rivals and Bhargav Bhakshi, a cop sent by the British to eradicate him and the underworld.",/vFpw8DbiGdhrqcvzpuiuRQBZJPb.jpg,2023-03-17,"Action, Crime, Thriller",136,0,3.3946
649087,tt11307814,Red Dot,Red Dot,sv,"On a hiking trip to rekindle their marriage, a couple find themselves fleeing for their lives in the unforgiving wilderness from an unknown shooter.",/cMhoSGFMOOZUyvZYB6Q9AR4t6fV.jpg,2021-02-11,"Thriller, Horror",86,0,3.4579
661671,tt10930586,Shikara,Shikara,hi,Shikara is the untold story of Kashmiri Pandits' forced exodus. It is the story of resilience in the face of insurmountable odds. It is also the story of a love that remains unextinguished through 30 years of exile. A timeless love story in the worst of times.,/ncLh2MnAWX7cJVwxIo8TY6uI37U.jpg,2020-02-07,"Drama, Romance",118,0,3.1137
622792,tt22036406,Kanguva,கங்குவா,ta,"A bounty hunter in present day, learns about his previous life as a legendary warrior, when fate unites him with a mutant kid.",/lycbTFBXqFN1kMdPEsnAFutKEEy.jpg,2024-11-14,"Action, Thriller, Fantasy",154,11882000,3.7609
659959,tt10457128,Summer of 85,Été 85,fr,"What do you dream of when you're 16-years-old and in a seaside resort in Normandy in the 1980s? A best friend? A lifelong teen pact? Scooting off on adventures on a boat or a motorbike? Living life at breakneck speed? No. You dream of death. Because you can't get a bigger kick than dying. And that's why you save it till the very end. The summer holidays are just beginning, and this story recounts how Alexis grew into himself.",/etH2pm1eMxEjY2dlltpQGLVspv.jpg,2020-07-14,"Romance, Drama",101,3600000,3.441
